datetime,0x_social_volume_total,1inch_social_volume_total,aave_social_volume_total,alchemix_social_volume_total,ampleforth_social_volume_total,api3_social_volume_total,bancor_social_volume_total,band-protocol_social_volume_total,coin98_social_volume_total,cow-protocol_social_volume_total,crvusd_social_volume_total,dia-data_social_volume_total,dydx_social_volume_total,frax_social_volume_total,frax-share_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,liquity_social_volume_total,liquity-usd_social_volume_total,loopring_social_volume_total,magic-internet-money_social_volume_total,maker_social_volume_total,marlin_social_volume_total,melon_social_volume_total,olympus_social_volume_total,orbs_social_volume_total,orion-protocol_social_volume_total,pendle_social_volume_total,rocket-pool_social_volume_total,spell-token_social_volume_total,ssv-network_social_volume_total,sushi_social_volume_total,tellor_social_volume_total,uma_social_volume_total,uniswap_social_volume_total,yearn-finance_social_volume_total
2023-08-09 00:00:00+00:00,2.0,7.0,9.0,2.0,3.0,4.0,19.0,24.0,43.0,14.0,1.0,26.0,4.0,18.0,8.0,23.0,4.0,2.0,3.0,50.0,19.0,48.0,17.0,7.0,1.0,4.0,2.0,3.0,22.0,5.0,0.0,33.0,1.0,40.0,79.0,1.0
2023-08-10 00:00:00+00:00,3.0,12.0,14.0,1.0,8.0,0.0,35.0,19.0,10.0,14.0,2.0,33.0,12.0,29.0,11.0,24.0,1.0,3.0,2.0,63.0,15.0,60.0,9.0,3.0,3.0,4.0,1.0,4.0,35.0,19.0,0.0,33.0,0.0,32.0,66.0,2.0
2023-08-11 00:00:00+00:00,1.0,7.0,16.0,1.0,1.0,10.0,25.0,7.0,33.0,11.0,3.0,25.0,8.0,32.0,12.0,18.0,4.0,1.0,0.0,24.0,8.0,42.0,19.0,2.0,2.0,4.0,0.0,1.0,9.0,5.0,2.0,32.0,0.0,33.0,64.0,1.0
2023-08-12 00:00:00+00:00,2.0,5.0,20.0,0.0,0.0,11.0,9.0,23.0,32.0,10.0,7.0,23.0,4.0,19.0,13.0,18.0,5.0,1.0,2.0,57.0,7.0,35.0,12.0,1.0,3.0,2.0,1.0,2.0,14.0,17.0,0.0,27.0,0.0,19.0,126.0,2.0
2023-08-13 00:00:00+00:00,1.0,5.0,8.0,0.0,2.0,12.0,24.0,22.0,25.0,7.0,8.0,17.0,13.0,11.0,1.0,12.0,2.0,1.0,0.0,62.0,5.0,47.0,10.0,2.0,3.0,0.0,0.0,4.0,8.0,9.0,0.0,22.0,6.0,27.0,93.0,1.0
2023-08-14 00:00:00+00:00,0.0,2.0,11.0,0.0,11.0,3.0,11.0,18.0,14.0,8.0,10.0,15.0,7.0,37.0,13.0,25.0,5.0,5.0,7.0,37.0,8.0,57.0,10.0,3.0,5.0,11.0,1.0,3.0,4.0,14.0,0.0,44.0,7.0,22.0,90.0,2.0
2023-08-15 00:00:00+00:00,0.0,12.0,4.0,0.0,3.0,3.0,9.0,25.0,3.0,24.0,16.0,25.0,5.0,26.0,11.0,43.0,4.0,5.0,2.0,47.0,14.0,35.0,25.0,0.0,2.0,3.0,4.0,7.0,18.0,16.0,2.0,25.0,0.0,29.0,63.0,7.0
2023-08-16 00:00:00+00:00,8.0,9.0,16.0,,1.0,5.0,30.0,23.0,2.0,11.0,18.0,26.0,9.0,10.0,10.0,59.0,5.0,4.0,0.0,89.0,10.0,56.0,10.0,9.0,1.0,0.0,3.0,5.0,6.0,15.0,0.0,12.0,4.0,32.0,88.0,1.0
2023-08-17 00:00:00+00:00,10.0,8.0,28.0,,4.0,2.0,25.0,35.0,2.0,7.0,43.0,27.0,8.0,29.0,17.0,80.0,7.0,3.0,1.0,94.0,7.0,40.0,9.0,2.0,2.0,1.0,1.0,7.0,18.0,21.0,0.0,57.0,1.0,24.0,70.0,0.0
2023-08-18 00:00:00+00:00,3.0,1.0,11.0,,3.0,1.0,6.0,17.0,2.0,11.0,49.0,29.0,4.0,24.0,5.0,124.0,6.0,2.0,0.0,69.0,9.0,52.0,13.0,5.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,20.0,0.0,32.0,57.0,3.0
